id;idade;sexo;fatoe_i;fator_ii;fato_iii;fator_iv;fator_v;epn_ra;epn_rv;epn_rm;epn_re;epn_rn;epn_eg;gerenc;relac;percep;usofaci;conemo;regemo;experi;etrateg;ie1;ie2;ie;av_des1;av_des2;av_des
a057;27;2;7;4.7;5.2;6.3;6.55;94;99;96;93;98;93;;;;;;;;;;;;;;
a058;25;1;7.7;2.9;5.1;7.9;6.55;99;95;121;116;111;110;;;;;;;;;;;;;;
a059;25;1;3.9;10.1;6.8;5.2;8.25;73;85;71;74;81;72;;;;;;;;;;;;;;
a060;20;2;7.8;3.7;7.1;6.1;7.25;99;105;96;96;127;101;;;;;;;;;;;;;;
a061;23;1;8.4;2.6;6.8;5.7;8.35;92;141;98;107;111;105;;;;;;;;;;;;;;
a062;21;2;7.1;5.8;4.7;7.4;8.25;109;105;106;86;103;99;;;;;;;;;;;;;;
a063;20;2;4.8;5.2;6.4;4.6;6.05;82;117;96;107;106;99;;;;;;;;;;;;;;
a064;21;2;4.6;6.2;6.5;3;4.95;94;91;85;86;83;84;;;;;;;;;;;;;;
a065;21;2;9.3;4.6;3.4;5.3;5.25;94;74;85;93;81;80;;;;;;;;;;;;;;
a066;41;1;2;4.8;5.6;7.9;6.85;109;95;109;96;83;95;;;;;;;;;;;;;;
a067;32;1;6.4;4;5.9;6.1;5.85;79;79;82;84;83;76;;;;;;;;;;;;;;
a068;25;2;8.8;6.7;0.6;9.5;4.95;104;122;93;99;106;102;;;;;;;;;;;;;;
a069;23;2;5.1;6.4;6.4;5.7;4.45;92;91;90;70;96;85;;;;;;;;;;;;;;
a070;21;2;4.8;4.8;6.2;5.2;5.95;82;95;76;80;98;84;;;;;;;;;;;;;;
a071;29;1;4;6.6;7.1;4.7;6.85;109;72;96;91;106;90;;;;;;;;;;;;;;
a072;21;1;5.7;5.6;7.3;3.7;5.65;109;95;101;88;98;95;;;;;;;;;;;;;;
a073;24;2;4.3;1.7;8.3;2.6;6.45;92;95;96;91;90;89;;;;;;;;;;;;;;
a074;33;2;5.1;4;7;2.8;7.05;92;85;96;93;90;88;;;;;;;;;;;;;;
a075;29;1;6.9;4;3.8;5.8;6.45;74;77;98;77;98;81;;;;;;;;;;;;;;
a076;22;1;3.2;5.4;3.6;5;4.55;99;111;109;116;90;104;;;;;;;;;;;;;;
a077;27;2;5.1;6.6;5.1;7.1;6.05;73;77;76;88;73;73;;;;;;;;;;;;;;
